,class,arm,sum,n,sum2,round,mean
2,C1,A3,55.8397269746379,2,1582.9368449025094,13,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,13,42.7730360298265
4,C1,A5,152.10753166817838,3,7720.654077025105,13,50.70251055605946
5,C1,A6,111.2135151928228,2,6392.189086459097,13,55.6067575964114
6,C2,A1,-31.524456935193342,1,993.7913850588595,13,-31.524456935193342
7,C2,A2,37.91582323947875,2,3157.1439303064753,13,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,13,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,13,-38.47747211735696
10,C2,A5,308.55494557093675,4,31654.12426188796,13,77.13873639273419
11,C2,A6,139.86624878453415,2,18011.717553363,13,69.93312439226708
0,C1,A1,17.37385720903893,2,154.03580814418453,14,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,14,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,14,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,14,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,14,45.44670296508687
5,C1,A6,111.2135151928228,2,6392.189086459097,14,55.6067575964114
6,C2,A1,-31.524456935193342,1,993.7913850588595,14,-31.524456935193342
7,C2,A2,37.91582323947875,2,3157.1439303064753,14,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,14,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,14,-38.47747211735696
10,C2,A5,322.3389416216881,5,31844.122809015087,14,64.46778832433762
11,C2,A6,139.86624878453415,2,18011.717553363,14,69.93312439226708
0,C1,A1,17.37385720903893,2,154.03580814418453,15,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,15,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,15,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,15,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,15,45.44670296508687
5,C1,A6,167.23718571071268,3,9530.840744756179,15,55.74572857023756
6,C2,A1,-59.04334148482469,2,1751.0803919147988,15,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,15,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,15,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,15,-38.47747211735696
10,C2,A5,322.3389416216881,5,31844.122809015087,15,64.46778832433762
11,C2,A6,139.86624878453415,2,18011.717553363,15,69.93312439226708
0,C1,A1,17.37385720903893,2,154.03580814418453,16,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,16,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,16,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,16,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,16,45.44670296508687
5,C1,A6,209.43694276050599,4,11311.660239817758,16,52.359235690126496
6,C2,A1,-59.04334148482469,2,1751.0803919147988,16,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,16,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,16,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,16,-38.47747211735696
10,C2,A5,405.5401102519469,6,38766.557270455865,16,67.59001837532448
11,C2,A6,139.86624878453415,2,18011.717553363,16,69.93312439226708
0,C1,A1,17.37385720903893,2,154.03580814418453,17,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,17,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,17,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,17,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,17,45.44670296508687
5,C1,A6,273.2545725292617,5,15384.350109119736,17,54.650914505852334
6,C2,A1,-59.04334148482469,2,1751.0803919147988,17,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,17,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,17,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,17,-38.47747211735696
10,C2,A5,460.0433511286603,7,41737.160536520896,17,65.72047873266575
11,C2,A6,139.86624878453415,2,18011.717553363,17,69.93312439226708
0,C1,A1,17.37385720903893,2,154.03580814418453,18,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,18,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,18,27.91986348731895
